tau_fs,N_CWE_caseA,N_UPPE_caseA,cost_CWE_caseA,cost_UPPE_caseA,ratio_caseA,N_CWE_caseB,N_UPPE_caseB,cost_CWE_caseB,cost_UPPE_caseB,ratio_caseB
20.0,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
20.706564064111753,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
21.43808976705812,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
22.195458958688377,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
22.9795846430222,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
23.791412078870792,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
24.63191991934101,32,512,480.0,4608.0,9.6,256,4096,6144.0,49152.0,8.0
25.50212139159525,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
26.40306551829098,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
27.335838382171605,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
28.301564435332065,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
29.30140785473938,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
30.336573945641415,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
31.40831059455437,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
32.517909773582865,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
33.66670909788496,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
34.856093438158304,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
36.0874965900945,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
37.36240300281031,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
38.68234956834249,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
40.048927474362465,32,512,480.0,4608.0,9.6,128,4096,2688.0,49152.0,18.285714285714285
41.46378412234258,32,1024,480.0,10240.0,21.333333333333332,128,4096,2688.0,49152.0,18.285714285714285
42.92862511348914,32,1024,480.0,10240.0,21.333333333333332,128,4096,2688.0,49152.0,18.285714285714285
44.44521630483497,32,1024,480.0,10240.0,21.333333333333332,128,4096,2688.0,49152.0,18.285714285714285
46.01538593796848,32,1024,480.0,10240.0,21.333333333333332,128,4096,2688.0,49152.0,18.285714285714285
47.64102684296837,32,1024,480.0,10240.0,21.333333333333332,128,4096,2688.0,49152.0,18.285714285714285
49.32409872019961,32,1024,480.0,10240.0,21.333333333333332,128,4096,2688.0,49152.0,18.285714285714285
51.066630502719285,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
52.87072280214379,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
54.738550440924215,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
56.672365074080496,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
58.67449790355861,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
60.74736248848135,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
62.89345765467791,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
65.11537050700412,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
67.41577954808268,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
69.79745790722045,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
72.26327668339988,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
